t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
1.28,0,0.0,0.0,1.994865514887233e-11,3.652867120842035e-11,5.618843064436607e-13,1.0289824547982107e-12,1.9912061163134298e-11,3.649112442657507e-11,5.587535642503916e-13,1.026720375385537e-12
1.3,0,0.0,0.0,1.9976255616790443e-11,3.657921175239249e-11,5.227250923778293e-13,9.571232695293475e-13,1.9939504743962284e-11,3.654155068696461e-11,5.19756113148695e-13,9.549999679947518e-13
1.32,0,0.0,0.0,2.0002235105749852e-11,3.6626783990208196e-11,5.005622652487496e-13,9.165584957671058e-13,1.996483589173193e-11,3.6588097828106105e-11,5.529921139058036e-13,1.0160622343491355e-12
1.34,0,0.0,0.0,2.0026755178354136e-11,3.6671683699159016e-11,4.723057882294324e-13,8.648776139708048e-13,1.9989313349119304e-11,3.663307854170438e-11,4.617283118346638e-13,8.484879465697759e-13
1.36,0,0.0,0.0,2.0049896704375973e-11,3.671405885809636e-11,4.4574110028006153e-13,8.161943343409916e-13,2.0012336298551634e-11,3.6675388572183535e-11,4.4362300291589385e-13,8.15195133618829e-13
1.3800000000000001,0,0.0,0.0,2.007137681546857e-11,3.675339163124595e-11,4.607460246663919e-13,8.437001097760799e-13,2.0033704817485106e-11,3.67146601442889e-11,4.583416979286881e-13,8.423539643587219e-13
1.4000000000000001,0,0.0,0.0,2.0092015137682984e-11,3.679118297074817e-11,3.968192961723016e-13,7.266132140415493e-13,2.00542335082116e-11,3.675239047703591e-11,3.9472938806461855e-13,7.254058465022695e-13
1.42,0,0.0,0.0,2.0111487835876486e-11,3.682683973995209e-11,3.7508841518874014e-13,6.868811075477765e-13,2.0073600617256554e-11,3.6787987460729964e-11,3.730509824662054e-13,6.857570067353436e-13
1.44,0,0.0,0.0,2.0128743950382554e-11,3.68584379778672e-11,4.786323247463198e-13,8.764239334269064e-13,2.009076097632779e-11,3.681953053443852e-11,4.759708252533024e-13,8.749112545558546e-13
1.46,0,0.0,0.0,2.0146226628014516e-11,3.689045112000439e-11,3.270127224563879e-13,5.987293993925391e-13,2.0108144743496595e-11,3.685148577844498e-11,3.251413895066779e-13,5.976608097313374e-13
1.48,0,0.0,0.0,2.0162650444748212e-11,3.692052539640696e-11,3.164963950641475e-13,5.795086632787161e-13,2.0124473781011088e-11,3.688150382205134e-11,3.146571544987431e-13,5.784539514053222e-13
1.5,0,0.0,0.0,2.0178420782908566e-11,3.6949402852388983e-11,2.6871560532271133e-13,4.92078600089485e-13,2.0139884120248414e-11,3.690983421563797e-11,2.968688662952079e-13,5.456884943910723e-13
1.52,0,0.0,0.0,2.0192749851222398e-11,3.697564101680791e-11,3.1327631461186556e-13,5.736244812482028e-13,2.0154186430886313e-11,3.693612902918674e-11,3.0679842347169917e-13,5.640488076608108e-13
1.54,0,0.0,0.0,2.0206050098844404e-11,3.699999538255424e-11,3.226164994873937e-13,5.907219158274302e-13,2.0167414940320008e-11,3.696045089315403e-11,3.210522125929316e-13,5.902917044053879e-13
1.56,0,0.0,0.0,2.021915867383377e-11,3.702399882068028e-11,2.4640185725122166e-13,4.5113912605643236e-13,2.018045299966744e-11,3.698442404994707e-11,2.450886715799072e-13,4.505840145441198e-13
1.58,0,0.0,0.0,2.0231482731840515e-11,3.7046565768990316e-11,2.3747757232905897e-13,4.3481884759444256e-13,2.0192506138970045e-11,3.7006587695865636e-11,2.587114550367531e-13,4.757583216274952e-13
1.6,0,0.0,0.0,2.0243316280738234e-11,3.7068234602384597e-11,2.0164989469884098e-13,3.6926017799032707e-13,2.0204287506951922e-11,3.7028252685112684e-11,2.0038701600832987e-13,3.685246552365129e-13
1.62,0,0.0,0.0,2.025406832279007e-11,3.7087923366892246e-11,2.3512962410432436e-13,4.305444889496357e-13,2.021498825539898e-11,3.7047931513124257e-11,2.339907781423456e-13,4.3029468876909505e-13
1.6400000000000001,0,0.0,0.0,2.026426615408476e-11,3.710659709612184e-11,2.1787649809312803e-13,3.9888925496001093e-13,2.0225136270639613e-11,3.706659488952413e-11,2.167944643249875e-13,3.9869496593070153e-13
1.6600000000000001,0,0.0,0.0,2.0274084010681913e-11,3.712457466000384e-11,1.8532441206642325e-13,3.3939517862791035e-13,2.023490491443279e-11,3.7084561337298093e-11,1.8442148849717732e-13,3.3920088959860095e-13
1.68,0,0.0,0.0,2.0283320489884923e-11,3.714148782531656e-11,1.7799433801868325e-13,3.2586433551529126e-13,2.0244094135431497e-11,3.710146287302462e-11,1.7702896440430216e-13,3.2568392427378967e-13
1.7,0,0.0,0.0,2.029203826118145e-11,3.715745087564258e-11,1.6789738002676025e-13,3.0743463330651366e-13,2.025276616857516e-11,3.7117414141108796e-11,1.670330540548548e-13,3.0722646648939644e-13
1.72,0,0.0,0.0,2.0300265773602804e-11,3.717251646330887e-11,1.5849647982957293e-13,2.9022617642482373e-13,2.0260949602974033e-11,3.713246764122191e-11,1.5762868441071554e-13,2.900180096077065e-13
1.74,0,0.0,0.0,2.030804989807628e-11,3.718677051957753e-11,1.474376176702208e-13,2.69936850649799e-13,2.0268691254044235e-11,3.714670924911488e-11,1.4659367469915807e-13,2.697703171961052e-13
1.76,0,0.0,0.0,2.0315255594185517e-11,3.7199965256547234e-11,1.5461373500946785e-13,2.83176260218454e-13,2.0275856823831073e-11,3.71598915377089e-11,1.5375591425059731e-13,2.829125822501055e-13
1.78,0,0.0,0.0,2.0322067404849655e-11,3.721243852896217e-11,1.4561615802044514e-13,2.665645482125001e-13,2.0282629805312292e-11,3.717235248664827e-11,1.447592046233126e-13,2.663147480319594e-13
1.8,0,0.0,0.0,2.0328626055173878e-11,3.722444831101991e-11,1.2382673011956946e-13,2.2670754162845697e-13,2.0289150239244662e-11,3.71843492790966e-11,1.2312243238832288e-13,2.264438636601085e-13
1.82,0,0.0,0.0,2.0334677463246428e-11,3.723552918335072e-11,1.3209398852520593e-13,2.419314748536294e-13,2.029516577453678e-11,3.719541743937379e-11,1.3132854179143116e-13,2.4165391909747314e-13
1.84,0,0.0,0.0,2.0340525812828822e-11,3.724623806157935e-11,1.1034489294514671e-13,2.0208834605739412e-13,2.0300978505042047e-11,3.72061136055488e-11,1.0960026289308367e-13,2.0182466808904564e-13
1.86,0,0.0,0.0,2.034602702386067e-11,3.725631180897116e-11,1.0600678321259771e-13,1.9413637364351644e-13,2.0306445751922966e-11,3.7216174599253615e-11,1.0536146607953434e-13,1.939004512507836e-13
1.8800000000000001,0,0.0,0.0,2.035111920834725e-11,3.7265636586032777e-11,1.1108952299720976e-13,2.0343449147475212e-13,2.0311505903005834e-11,3.722548705283965e-11,1.1040951139462685e-13,2.032263246576349e-13
1.9000000000000001,0,0.0,0.0,2.0356040194275025e-11,3.7274647655701e-11,9.286278343512144e-14,1.7003065622134272e-13,2.031639544186643e-11,3.723448564637663e-11,9.227384481502732e-14,1.6976697825299425e-13
1.92,0,0.0,0.0,2.0360580067526657e-11,3.7282961061220525e-11,9.908827230953321e-14,1.8154922010182872e-13,2.0320994448805594e-11,3.724295008386089e-11,8.864133385633188e-14,1.6316115125647457e-13
1.94,0,0.0,0.0,2.0364884886614657e-11,3.729084392225112e-11,9.192993588591492e-14,1.6843471062344406e-13,2.032525106426501e-11,3.7250784677945495e-11,9.288793692552311e-14,1.709743457922741e-13
1.96,0,0.0,0.0,2.0368951057625668e-11,3.7298289424798944e-11,8.69343659559707e-14,1.5919210394343963e-13,2.032928640967353e-11,3.7258212278147066e-11,8.619884320215654e-14,1.5866474800674268e-13
