it,K_err,q1,q2,q3,q4
178,1.7496123051506989,83.10926982517785,86.10579011723573,14.172724629523117,9.27951498362333
179,1.745274437028097,82.99714380389233,86.21791613852125,14.060598608237598,9.16738896233781
180,1.745239365439883,83.00718180317745,86.20787813923613,14.05056060895248,9.177426961622928
181,1.719661198009307,83.27913614693315,86.47983248299184,14.32251495270819,8.905472617867218
182,1.7185785329112373,83.22346889681697,86.53549973310803,14.266847702592003,8.961139867983405
183,1.7165972987756726,83.2983930527098,86.4605755772152,14.191923546699172,8.886215712090575
184,1.6941877138926629,83.5509662709255,86.7131487954309,14.444496764914874,8.633642493874873
185,1.693736240818247,83.58645986801804,86.67765519833836,14.409003167822334,8.669136090967413
186,1.6442331946420439,83.95620542645531,87.04740075677563,14.03925760938506,8.29939053253014
187,1.5998627806177619,84.30141892239561,87.39261425271593,13.694044113444761,7.95417703658984
188,1.5983266992279026,84.2375291852504,87.45650398986115,13.630154376299544,7.890287299444623
189,1.5975563331216116,84.28260474828363,87.41142842682791,13.585078813266307,7.935362862477859
190,1.595891740563402,84.21605076812554,87.477982406986,13.518524833108216,8.00191684263595
191,1.595288896276579,84.25589471857563,87.43813845653591,13.478680882658125,8.041760793086041
192,1.5947715842971941,84.29280657397896,87.40122660113258,13.441769027254793,8.00484893768271
193,1.5942461260870346,84.32999299327392,87.36404018183762,13.404582607959838,8.042035356977664
194,1.5937967125462855,84.36438703718906,87.32964613792248,13.370188564044696,8.007641313062521
195,1.5746778724800243,84.58944214793206,87.55470124866548,13.595243674787696,7.782586202319521
196,1.5585405790612623,84.79505404777598,87.7603131485094,13.800855574631612,7.576974302475605
197,1.5402303199627825,85.0121787072544,87.97743780798783,14.017980234110041,7.794098961954035
198,1.5388078581477207,85.07230440896961,87.91731210627262,13.957854532394833,7.8542246636692425
199,1.5368829936903041,85.00216540679006,87.98745110845218,13.887715530215274,7.784085661489684
200,1.535232750595727,84.93725499932324,88.05236151591899,13.822805122748463,7.719175254022872
201,1.5346947691953448,84.97418217392138,88.01543434132086,13.785877948150329,7.682248079424738
202,1.5319951187912522,84.8911386940243,88.09847782121793,13.702834468253258,7.76529155932181
203,1.5176780063538222,85.08221065805287,88.28954978524649,13.893906432281824,7.574219595293243
204,1.5164007329940339,85.02544960219737,88.346310841102,13.83714537642632,7.51745853943774
205,1.4723145665636528,85.355223743383,88.67608498228762,13.507371235240697,7.847232680623364
206,1.4323419848194294,85.66475397347006,88.98561521237468,13.197841005153634,8.156762910710427
207,1.3961386996812968,85.95541331609112,89.27627455499575,12.907181662532565,8.447422253331496
208,1.380074062199238,86.14787739404605,89.46873863295068,13.099645740487489,8.63988633128642
209,1.3796474767919067,86.17905515889589,89.43756086810083,13.068467975637645,8.671064096136263
210,1.378398784349557,86.23237335551813,89.38424267147859,13.015149779015402,8.61774589951402
211,1.3605022202004766,86.43480434647465,89.5866736624351,13.217580769971917,8.415314908557505
212,1.3593877534393066,86.38458141984827,89.63689658906148,13.167357843345542,8.46553783518388
213,1.34555759423178,86.56082648957785,89.81314165879105,13.343602913075117,8.641782904913455
214,1.3335537404679074,86.72421420175546,89.97652937096866,13.506990625252726,8.805170617091065
215,1.293461130289653,87.01967176592106,90.27198693513427,13.211533061087124,8.509713052925463
216,1.260259776138261,87.2840833441979,90.5363985134111,12.947121482810289,8.774124631202298
217,1.2448433149858786,87.46376784786513,90.71608301707833,13.126805986477521,8.594440127535066
218,1.2318209768635444,87.62797307669267,90.88028824590587,13.291011215305062,8.430234898707525
219,1.1981378870722188,87.88775753851063,91.14007270772383,13.031226753487104,8.690019360525483
220,1.1964111958408525,87.94617864383291,91.08165160240155,12.972805648164822,8.631598255203201
221,1.1948891590366737,88.0009931507486,91.02683709548586,12.917991141249132,8.576783748287511
222,1.193452021114116,87.94756749918363,91.08026274705082,12.864565489684168,8.523358096722546
223,1.1922238050973106,87.89820230747146,91.129627938763,12.815200297971998,8.473992905010377
224,1.191058429528952,87.9460901340645,91.08174011216995,12.767312471378958,8.426105078417336
225,1.1784978307968925,88.10328569151537,91.23893566962082,12.92450802882982,8.583300635868198
226,1.1477839880171028,88.34601376562667,91.48166374373211,12.681779954718522,8.826028709979497
227,1.1340492432227307,88.5079015181811,91.64355149628655,12.843667707272957,8.664140957425062
228,1.1324629661597652,88.56238274939642,91.58907026507123,12.789186476057637,8.609659726209742
229,1.1314324996102394,88.60630629846987,91.54514671599777,12.745262926984182,8.653583275283196
230,1.1194130946504275,88.75672009114432,91.69556050867222,12.895676719658624,8.503169482608754
231,1.0885778386033418,88.9936731941765,91.9325136117044,12.658723616626446,8.740122585640933
232,1.0872434045751826,88.94452966414,91.98165714174088,12.609580086589958,8.690979055604444
233,1.0769613225853503,89.0804310071902,92.11755848479108,12.74548142964015,8.826880398654637
234,1.0759735604799006,89.12236917454685,92.07562031743443,12.703543262283503,8.868818566011285
235,1.044185251070415,89.35888059152241,92.31213173440999,12.467031845307943,8.632307149035725
236,1.0333578986844574,89.49606290153177,92.44931404441935,12.604214155317308,8.49512483902636
237,1.032215177073182,89.4517712009224,92.49360574502873,12.55992245470793,8.539416539635738
238,1.0312362139444933,89.41079647862281,92.53458046732831,12.51894773240835,8.580391261935318
239,1.021209838700024,89.54148660178184,92.66527059048734,12.649637855567377,8.711081385094346
240,1.0124973764320364,89.66274308018662,92.78652706889211,12.770894333972151,8.83233786349912
241,1.0115691732942738,89.62323896276935,92.82603118630938,12.731390216554885,8.871841980916386
