t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
1.28,0,0.0,0.0,1.9882372001530374e-11,3.6408450370438656e-11,7.723452953578569e-13,1.4143269888577947e-12,1.9846268688495675e-11,3.636890040213849e-11,8.527770503641285e-13,1.5664691765948646e-12
1.3,0,0.0,0.0,1.9911632952831222e-11,3.646203263406472e-11,8.229411076199344e-13,1.5069612224749562e-12,1.9875541278056315e-11,3.642267209756814e-11,8.013095395553727e-13,1.471892052684609e-12
1.32,0,0.0,0.0,1.9940070494649117e-11,3.6514107159312185e-11,6.999964843878992e-13,1.2817247263541276e-12,1.990382216870647e-11,3.6474624706449716e-11,6.964507096030026e-13,1.2794626469414538e-12
1.34,0,0.0,0.0,1.9966412275835996e-11,3.656234414316389e-11,7.243654460975524e-13,1.3264805920343292e-12,1.993001890749512e-11,3.652275125086605e-11,7.203894598906135e-13,1.3233997231409944e-12
1.36,0,0.0,0.0,1.9992453929912213e-11,3.661003159437398e-11,5.646598640052236e-13,1.0339229472577927e-12,1.9956419624611065e-11,3.657125492416605e-11,5.05316708615533e-13,9.284101265549793e-13
1.3800000000000001,0,0.0,0.0,2.001535338438028e-11,3.66519648012808e-11,7.229191203994567e-13,1.3237466678361898e-12,1.997970419246129e-11,3.661403553655199e-11,6.576674968505891e-13,1.2083112288507891e-12
1.4000000000000001,0,0.0,0.0,2.0039247157624966e-11,3.669571874619242e-11,4.4458837653027494e-13,8.141404217454351e-13,2.0003305419770583e-11,3.6657400042982163e-11,4.514947443690076e-13,8.29628032938956e-13
1.42,0,0.0,0.0,2.0060763352266904e-11,3.673511903477973e-11,5.336182884452256e-13,9.772460618506784e-13,2.0024648188035098e-11,3.669661710313702e-11,5.290910938537952e-13,9.72263936027673e-13
1.44,0,0.0,0.0,2.0081590569387972e-11,3.6773257610410675e-11,4.52437566578201e-13,8.28656587792409e-13,2.0044933997525636e-11,3.673389382651173e-11,4.898030765698724e-13,8.999884171245753e-13
1.46,0,0.0,0.0,2.0100431813924743e-11,3.680775978930235e-11,5.20500743200758e-13,9.53112588852889e-13,2.0063651358520092e-11,3.6768290006860127e-11,5.150957785304833e-13,9.465622730076007e-13
1.48,0,0.0,0.0,2.0118750528091845e-11,3.684130503921352e-11,4.404571325722362e-13,8.065631496023684e-13,2.008139523303215e-11,3.6800898589360984e-11,4.858041052768769e-13,8.928136008279353e-13
1.5,0,0.0,0.0,2.0135567591458712e-11,3.687210016954819e-11,4.730504182814954e-13,8.662931483272018e-13,2.0098197474487963e-11,3.683177815215667e-11,4.601184884489573e-13,8.455736111301349e-13
1.52,0,0.0,0.0,2.0151150392567208e-11,3.690063531601614e-11,4.869108588545501e-13,8.91633988864271e-13,2.011367316075863e-11,3.686022098358013e-11,4.841387707399392e-13,8.897743652980239e-13
1.54,0,0.0,0.0,2.016673291828835e-11,3.692916976859469e-11,3.727656204544072e-13,6.826067489029697e-13,2.0129150956886726e-11,3.688866942162985e-11,3.70238995711647e-13,6.805250807317975e-13
1.56,0,0.0,0.0,2.018062181396426e-11,3.695460320173201e-11,4.467073412561806e-13,8.18040080119431e-13,2.0142501325006756e-11,3.691320901421005e-11,4.929568038491983e-13,9.060807659722059e-13
1.58,0,0.0,0.0,2.0194847962435302e-11,3.698065425193793e-11,3.074537152647494e-13,5.629385846361856e-13,2.0156727242759585e-11,3.6939359151820926e-11,2.9762824149681677e-13,5.471595398987006e-13
1.6,0,0.0,0.0,2.0207350145751692e-11,3.700354821643988e-11,3.947272196602736e-13,7.227829446065925e-13,2.016915573892584e-11,3.6962206403689104e-11,3.928337689862449e-13,7.221584441552409e-13
1.62,0,0.0,0.0,2.0220347560528088e-11,3.7027348872330464e-11,2.4807890117162223e-13,4.5430326167661406e-13,2.0182078586613623e-11,3.698596371924836e-11,2.4666293313435617e-13,4.5333181653006704e-13
1.6400000000000001,0,0.0,0.0,2.0232360483736356e-11,3.704934666480693e-11,2.6219868290433546e-13,4.800743136357255e-13,2.0194021170254386e-11,3.700791946202778e-11,2.6065781477679906e-13,4.791445018526019e-13
1.6600000000000001,0,0.0,0.0,2.024371515571332e-11,3.707013931019017e-11,2.472813620535419e-13,4.5274894944213884e-13,2.0205308253067917e-11,3.7028671237325926e-11,2.458445773345641e-13,4.519579155370934e-13
1.68,0,0.0,0.0,2.0254443520090754e-11,3.7089785317233565e-11,2.3366291540538597e-13,4.2781056475149626e-13,2.021573931012769e-11,3.7047849923742675e-11,2.5800932570985147e-13,4.744676873613685e-13
